year,quarter,delay_status,sales_proportion
2016,3,Largo,0.8107929515418503
2016,3,No hubo retraso,0.18920704845814978
2016,4,Corto,0.0036864573435145135
2016,4,Largo,0.0012606766695813219
2016,4,No hubo retraso,0.9950528659869042
2017,1,Corto,0.00842831195896458
2017,1,Largo,0.02504565924083947
2017,1,No hubo retraso,0.9665260288001959
2017,2,Corto,0.02007835608872734
2017,2,Largo,0.04035925454423702
2017,2,No hubo retraso,0.9395623893670357
2017,3,Corto,0.012513807945058067
2017,3,Largo,0.02689196782592854
2017,3,No hubo retraso,0.9605942242290134
2017,4,Corto,0.03256272612870962
2017,4,Largo,0.08467713042167845
2017,4,No hubo retraso,0.882760143449612
2018,1,Corto,0.038632064758260656
2018,1,Largo,0.11312650060977002
2018,1,No hubo retraso,0.8482414346319693
2018,2,Corto,0.01649378836348582
2018,2,Largo,0.02848238035606837
2018,2,No hubo retraso,0.9550238312804458
2018,3,Corto,0.038268138615525846
2018,3,Largo,0.028448489032549956
2018,3,No hubo retraso,0.9332833723519242
2018,4,No hubo retraso,
